Time,bit-x,bitfinex,bitflyer,bithumb,bitstamp,coinbase,gemini,hitbtc,kraken,others
2018-08-05 00:00:00 UTC,5130.1828,17650.39081054,5092.38814522997,1697.48171103,6770.02011527,7326.41782084999,779.9479826358,9379.01999999998,6369.92808221,6706.277216407665
2018-08-06 00:00:00 UTC,4996.7698,17760.0719384799,7182.0664865999,1818.1364607,8400.49639135,10341.05580863,1789.552686106,9080.54999999997,6275.27847195,8027.349188943263
2018-08-07 00:00:00 UTC,5334.7504,31813.3134953803,7615.61102441988,2705.83630551,11759.29267962,13050.6838569001,2389.8874477103,10797.8399999999,12583.84787625,10154.672302510411
2018-08-08 00:00:00 UTC,5847.1816,52957.9195112606,12777.1259670497,3399.69290885,17314.85043393,24908.22962157,5724.46641542742,12329.0699999999,18064.21906683,17113.361256493037
2018-08-09 00:00:00 UTC,5393.3934,33275.1468452701,9862.43347887985,2292.06219277,11535.05992102,16072.7372380999,3450.8032530697,9610.94999999994,12349.99209149,11515.031602292505
2018-08-10 00:00:00 UTC,5200.3856,43096.6736774802,11709.2185477598,2584.81522495,16420.9040335,10392.78772123,3362.8631751927,12681.0299999999,14592.42193848,14590.934558905561
2018-08-11 00:00:00 UTC,5205.0606,36140.7410225202,8132.28928995989,1982.81502156,8279.4749698,11665.2868689199,3939.3979197577,9594.17999999995,11583.63830316,12360.435053240646
2018-08-12 00:00:00 UTC,5416.1991,22955.41089591,7752.47695933994,1034.63823554,8731.94924344,9353.02508384994,1617.2253503184,10248.29,8594.97950494001,9450.552009908728
2018-08-13 00:00:00 UTC,5149.2184,31041.0771073201,9429.68650983989,1996.74551954,10774.61499795,12045.2873444599,3190.7977297509,10685.68,11785.31080161,9741.538720756775
2018-08-14 00:00:00 UTC,5217.6555,51906.0890332802,11943.6864646998,3165.79972327,17556.69213368,20371.94950854,6264.3824170613,12973.1799999999,18972.8917688,14634.328363401699
2018-08-15 00:00:00 UTC,5390.363,64149.1514844405,12258.3874511298,2260.01603354,15153.79328256,20613.6083716598,4706.4780478577,13001.3599999998,16421.72938838,14439.289653873206
2018-08-16 00:00:00 UTC,5325.339,25075.2363694,8752.08446867991,1496.28833166,8895.53133074,10655.03754948,2781.2857957401,10683.4499999997,9448.06620251,10758.66094848533
2018-08-17 00:00:00 UTC,5201.998,26296.7155252799,8232.88335065993,1955.72776591,8205.01080399,12365.7775077499,3322.5711004237,10177.6999999998,7671.12651854,9672.57236423139
2018-08-18 00:00:00 UTC,5137.6113,19355.26912208,4900.56086718997,1246.50003007,4570.11562698,7768.41574424997,1429.1001448457,10509.0099999998,6818.78306122,6683.153451370544
